object_name_ua,Persons,object_name_en,oblast,raion,settlement_type,settlement_name,key,hromada_name,hromada_code
смт Мирне,1631,stlmt Myrne,Донецька,Волноваський,селище міського типу,Мирне,Донецька Волноваський селище міського типу Мирне,Мирненська,UA14040090000061195
смт Новотроїцьке,6296,stlmt Novotroitske,Донецька,Волноваський,селище міського типу,Новотроїцьке,Донецька Волноваський селище міського типу Новотроїцьке,Ольгинська,UA14040110000019914
смт Ольгинка,2929,stlmt Olhynka,Донецька,Волноваський,селище міського типу,Ольгинка,Донецька Волноваський селище міського типу Ольгинка,Ольгинська,UA14040110000019914
м. Бунге,13495,city Bunhe,Донецька,Горлівський,місто,Бунге,Донецька Горлівський місто Бунге,Єнакієвська,UA14060070000066382
м. Вуглегірськ,7294,city Vuhlehirsk,Донецька,Горлівський,місто,Вуглегірськ,Донецька Горлівський місто Вуглегірськ,Вуглегірська,UA14060010000010738
м. Горлівка,239828,city Horlivka,Донецька,Горлівський,місто,Горлівка,Донецька Горлівський місто Горлівка,Горлівська,UA14060030000084305
м. Дебальцеве,24209,city Debaltseve,Донецька,Горлівський,місто,Дебальцеве,Донецька Горлівський місто Дебальцеве,Дебальцівська,UA14060050000034979
м. Єнакієве,76673,city Yenakiieve,Донецька,Горлівський,місто,Єнакієве,Донецька Горлівський місто Єнакієве,Єнакієвська,UA14060070000066382
м. Жданівка,11867,city Zhdanivka,Донецька,Горлівський,місто,Жданівка,Донецька Горлівський місто Жданівка,Жданівська,UA14060090000054042
м. Сніжне,45767,city Snizhne,Донецька,Горлівський,місто,Сніжне,Донецька Горлівський місто Сніжне,Сніжнянська,UA14060110000052135
м. Хрестівка,27370,city Khrestivka,Донецька,Горлівський,місто,Хрестівка,Донецька Горлівський місто Хрестівка,Хрестівська,UA14060130000085167
м. Чистякове,53462,city Chystiakove,Донецька,Горлівський,місто,Чистякове,Донецька Горлівський місто Чистякове,Чистяківська,UA14060150000032950
м. Шахтарськ,48208,city Shakhtarsk,Донецька,Горлівський,місто,Шахтарськ,Донецька Горлівський місто Шахтарськ,Шахтарська,UA14060170000097532
смт Андріївка,2124,stlmt Andriivka,Донецька,Горлівський,селище міського типу,Андріївка,Донецька Горлівський селище міського типу Андріївка,Сніжнянська,UA14060110000052135
смт Бражине,312,stlmt Brazhyne,Донецька,Горлівський,селище міського типу,Бражине,Донецька Горлівський селище міського типу Бражине,Сніжнянська,UA14060110000052135
смт Булавинське,3070,stlmt Bulavynske,Донецька,Горлівський,селище міського типу,Булавинське,Донецька Горлівський селище міського типу Булавинське,Вуглегірська,UA14060010000010738
смт Вільхівка,724,stlmt Vilkhivka,Донецька,Горлівський,селище міського типу,Вільхівка,Донецька Горлівський селище міського типу Вільхівка,Жданівська,UA14060090000054042
смт Гірницьке,1158,stlmt Hirnytske,Донецька,Горлівський,селище міського типу,Гірницьке,Донецька Горлівський селище міського типу Гірницьке,Сніжнянська,UA14060110000052135
смт Гольмівський,6750,stlmt Holmivskyi,Донецька,Горлівський,селище міського типу,Гольмівський,Донецька Горлівський селище міського типу Гольмівський,Горлівська,UA14060030000084305
смт Дружне,676,stlmt Druzhne,Донецька,Горлівський,селище міського типу,Дружне,Донецька Горлівський селище міського типу Дружне,Єнакієвська,UA14060070000066382
смт Залісне,2396,stlmt Zalisne,Донецька,Горлівський,селище міського типу,Залісне,Донецька Горлівський селище міського типу Залісне,Сніжнянська,UA14060110000052135
смт Контарне,1421,stlmt Kontarne,Донецька,Горлівський,селище міського типу,Контарне,Донецька Горлівський селище міського типу Контарне,Шахтарська,UA14060170000097532
смт Корсунь,2560,stlmt Korsun,Донецька,Горлівський,селище міського типу,Корсунь,Донецька Горлівський селище міського типу Корсунь,Єнакієвська,UA14060070000066382
смт Лиманчук,888,stlmt Lymanchuk,Донецька,Горлівський,селище міського типу,Лиманчук,Донецька Горлівський селище міського типу Лиманчук,Сніжнянська,UA14060110000052135
смт Московське,624,stlmt Moskovske,Донецька,Горлівський,селище міського типу,Московське,Донецька Горлівський селище міського типу Московське,Шахтарська,UA14060170000097532
смт Никифорове,354,stlmt Nykyforove,Донецька,Горлівський,селище міського типу,Никифорове,Донецька Горлівський селище міського типу Никифорове,Сніжнянська,UA14060110000052135
смт Олександрівське,1524,stlmt Oleksandrivske,Донецька,Горлівський,селище міського типу,Олександрівське,Донецька Горлівський селище міського типу Олександрівське,Вуглегірська,UA14060010000010738
смт Оленівка,751,stlmt Olenivka,Донецька,Горлівський,селище міського типу,Оленівка,Донецька Горлівський селище міського типу Оленівка,Вуглегірська,UA14060010000010738
смт Ольховатка,2972,stlmt Olkhovatka,Донецька,Горлівський,селище міського типу,Ольховатка,Донецька Горлівський селище міського типу Ольховатка,Вуглегірська,UA14060010000010738
смт Пантелеймонівка,7727,stlmt Panteleimonivka,Донецька,Горлівський,селище міського типу,Пантелеймонівка,Донецька Горлівський селище міського типу Пантелеймонівка,Горлівська,UA14060030000084305
смт Пелагіївка,17833,stlmt Pelahiivka,Донецька,Горлівський,селище міського типу,Пелагіївка,Донецька Горлівський селище міського типу Пелагіївка,Чистяківська,UA14060150000032950
смт Первомайське,500,stlmt Pervomaiske,Донецька,Горлівський,селище міського типу,Первомайське,Донецька Горлівський селище міського типу Первомайське,Сніжнянська,UA14060110000052135
смт Первомайський,2787,stlmt Pervomaiskyi,Донецька,Горлівський,селище міського типу,Первомайський,Донецька Горлівський селище міського типу Первомайський,Сніжнянська,UA14060110000052135
смт Побєда,542,stlmt Pobieda,Донецька,Горлівський,селище міського типу,Побєда,Донецька Горлівський селище міського типу Побєда,Сніжнянська,UA14060110000052135
смт Прибережне,152,stlmt Pryberezhne,Донецька,Горлівський,селище міського типу,Прибережне,Донецька Горлівський селище міського типу Прибережне,Вуглегірська,UA14060010000010738
смт Розсипне,4997,stlmt Rozsypne,Донецька,Горлівський,селище міського типу,Розсипне,Донецька Горлівський селище міського типу Розсипне,Чистяківська,UA14060150000032950
смт Сердите,1928,stlmt Serdyte,Донецька,Горлівський,селище міського типу,Сердите,Донецька Горлівський селище міського типу Сердите,Шахтарська,UA14060170000097532
смт Сєверне,9832,stlmt Sieverne,Донецька,Горлівський,селище міського типу,Сєверне,Донецька Горлівський селище міського типу Сєверне,Сніжнянська,UA14060110000052135
смт Софіївка,9547,stlmt Sofiivka,Донецька,Горлівський,селище міського типу,Софіївка,Донецька Горлівський селище міського типу Софіївка,Єнакієвська,UA14060070000066382
смт Стіжківське,3876,stlmt Stizhkivske,Донецька,Горлівський,селище міського типу,Стіжківське,Донецька Горлівський селище міського типу Стіжківське,Шахтарська,UA14060170000097532
м. Амвросіївка,17998,city Amvrosiivka,Донецька,Донецький,місто,Амвросіївка,Донецька Донецький місто Амвросіївка,Амвросіївська,UA14080010000095044
м. Донецьк,901645,city Donetsk,Донецька,Донецький,місто,Донецьк,Донецька Донецький місто Донецьк,Донецька,UA14080030000053877
м. Зугрес,17871,city Zuhres,Донецька,Донецький,місто,Зугрес,Донецька Донецький місто Зугрес,Харцизька,UA14080090000014360
м. Іловайськ,15395,city Ilovaisk,Донецька,Донецький,місто,Іловайськ,Донецька Донецький місто Іловайськ,Іловайська,UA14080050000085820
м. Макіївка,338968,city Makiivka,Донецька,Донецький,місто,Макіївка,Донецька Донецький місто Макіївка,Макіївська,UA14080070000011977
м. Моспине,10471,city Mospyne,Донецька,Донецький,місто,Моспине,Донецька Донецький місто Моспине,Донецька,UA14080030000053877
м. Харцизьк,56182,city Khartsyzk,Донецька,Донецький,місто,Харцизьк,Донецька Донецький місто Харцизьк,Харцизька,UA14080090000014360
м. Ясинувата,34144,city Yasynuvata,Донецька,Донецький,місто,Ясинувата,Донецька Донецький місто Ясинувата,Ясинуватська,UA14080110000066209
смт Благодатне,37,stlmt Blahodatne,Донецька,Донецький,селище міського типу,Благодатне,Донецька Донецький селище міського типу Благодатне,Харцизька,UA14080090000014360
смт Велике Оріхове,591,stlmt Velyke Orikhove,Донецька,Донецький,селище міського типу,Велике Оріхове,Донецька Донецький селище міського типу Велике Оріхове,Макіївська,UA14080070000011977
смт Високе,455,stlmt Vysoke,Донецька,Донецький,селище міського типу,Високе,Донецька Донецький селище міського типу Високе,Макіївська,UA14080070000011977
смт Вугляр,1087,stlmt Vuhliar,Донецька,Донецький,селище міського типу,Вугляр,Донецька Донецький селище міського типу Вугляр,Макіївська,UA14080070000011977
смт Гірне,3277,stlmt Hirne,Донецька,Донецький,селище міського типу,Гірне,Донецька Донецький селище міського типу Гірне,Харцизька,UA14080090000014360
смт Горбачево-Михайлівка,917,stlmt Horbachevo-Mykhailivka,Донецька,Донецький,селище міського типу,Горбачево-Михайлівка,Донецька Донецький селище міського типу Горбачево-Михайлівка,Донецька,UA14080030000053877
смт Грузько-Зорянське,1334,stlmt Hruzko-Zorianske,Донецька,Донецький,селище міського типу,Грузько-Зорянське,Донецька Донецький селище міського типу Грузько-Зорянське,Макіївська,UA14080070000011977
смт Грузько-Ломівка,614,stlmt Hruzko-Lomivka,Донецька,Донецький,селище міського типу,Грузько-Ломівка,Донецька Донецький селище міського типу Грузько-Ломівка,Макіївська,UA14080070000011977
смт Гусельське,457,stlmt Huselske,Донецька,Донецький,селище міського типу,Гусельське,Донецька Донецький селище міського типу Гусельське,Макіївська,UA14080070000011977
смт Землянки,1691,stlmt Zemlianky,Донецька,Донецький,селище міського типу,Землянки,Донецька Донецький селище міського типу Землянки,Макіївська,UA14080070000011977
смт Зуївка,3070,stlmt Zuivka,Донецька,Донецький,селище міського типу,Зуївка,Донецька Донецький селище міського типу Зуївка,Харцизька,UA14080090000014360
смт Колосникове,597,stlmt Kolosnykove,Донецька,Донецький,селище міського типу,Колосникове,Донецька Донецький селище міського типу Колосникове,Макіївська,UA14080070000011977
смт Копані,1102,stlmt Kopani,Донецька,Донецький,селище міського типу,Копані,Донецька Донецький селище міського типу Копані,Амвросіївська,UA14080010000095044
смт Кринична,4459,stlmt Krynychna,Донецька,Донецький,селище міського типу,Кринична,Донецька Донецький селище міського типу Кринична,Макіївська,UA14080070000011977
смт Кутейникове,1612,stlmt Kuteinykove,Донецька,Донецький,селище міського типу,Кутейникове,Донецька Донецький селище міського типу Кутейникове,Іловайська,UA14080050000085820
смт Ларине,2761,stlmt Laryne,Донецька,Донецький,селище міського типу,Ларине,Донецька Донецький селище міського типу Ларине,Донецька,UA14080030000053877
смт Липське,886,stlmt Lypske,Донецька,Донецький,селище міського типу,Липське,Донецька Донецький селище міського типу Липське,Макіївська,UA14080070000011977
смт Лісне,132,stlmt Lisne,Донецька,Донецький,селище міського типу,Лісне,Донецька Донецький селище міського типу Лісне,Макіївська,UA14080070000011977
смт Маяк,1174,stlmt Maiak,Донецька,Донецький,селище міського типу,Маяк,Донецька Донецький селище міського типу Маяк,Макіївська,UA14080070000011977
смт Межове,1193,stlmt Mezhove,Донецька,Донецький,селище міського типу,Межове,Донецька Донецький селище міського типу Межове,Макіївська,UA14080070000011977
смт Миколаївка,115,stlmt Mykolaivka,Донецька,Донецький,селище міського типу,Миколаївка,Донецька Донецький селище міського типу Миколаївка,Харцизька,UA14080090000014360
смт Нижня Кринка,13557,stlmt Nyzhnia Krynka,Донецька,Донецький,селище міського типу,Нижня Кринка,Донецька Донецький селище міського типу Нижня Кринка,Макіївська,UA14080070000011977
смт Новоамвросіївське,2118,stlmt Novoamvrosiivske,Донецька,Донецький,селище міського типу,Новоамвросіївське,Донецька Донецький селище міського типу Новоамвросіївське,Амвросіївська,UA14080010000095044
смт Олександрівка,3885,stlmt Oleksandrivka,Донецька,Донецький,селище міського типу,Олександрівка,Донецька Донецький селище міського типу Олександрівка,Донецька,UA14080030000053877
смт Покровка,158,stlmt Pokrovka,Донецька,Донецький,селище міського типу,Покровка,Донецька Донецький селище міського типу Покровка,Харцизька,UA14080090000014360
смт П’ятипілля,3155,stlmt Piatypillia,Донецька,Донецький,селище міського типу,П’ятипілля,Донецька Донецький селище міського типу П’ятипілля,Макіївська,UA14080070000011977
смт Старомихайлівка,5091,stlmt Staromykhailivka,Донецька,Донецький,селище міського типу,Старомихайлівка,Донецька Донецький селище міського типу Старомихайлівка,Донецька,UA14080030000053877
смт Троїцько-Харцизьк,907,stlmt Troitsko-Khartsyzk,Донецька,Донецький,селище міського типу,Троїцько-Харцизьк,Донецька Донецький селище міського типу Троїцько-Харцизьк,Харцизька,UA14080090000014360
смт Холодне,1423,stlmt Kholodne,Донецька,Донецький,селище міського типу,Холодне,Донецька Донецький селище міського типу Холодне,Макіївська,UA14080070000011977
смт Шахтне,777,stlmt Shakhtne,Донецька,Донецький,селище міського типу,Шахтне,Донецька Донецький селище міського типу Шахтне,Харцизька,UA14080090000014360
смт Широке,724,stlmt Shyroke,Донецька,Донецький,селище міського типу,Широке,Донецька Донецький селище міського типу Широке,Харцизька,UA14080090000014360
смт Ясинівка,3588,stlmt Yasynivka,Донецька,Донецький,селище міського типу,Ясинівка,Донецька Донецький селище міського типу Ясинівка,Макіївська,UA14080070000011977
м. Докучаєвськ,22835,city Dokuchaievsk,Донецька,Кальміуський,місто,Докучаєвськ,Донецька Кальміуський місто Докучаєвськ,Докучаєвська,UA14100030000067479
м. Кальміуське,11422,city Kalmiuske,Донецька,Кальміуський,місто,Кальміуське,Донецька Кальміуський місто Кальміуське,Кальміуська,UA14100050000098906
м. Новоазовськ,11051,city Novoazovsk,Донецька,Кальміуський,місто,Новоазовськ,Донецька Кальміуський місто Новоазовськ,Новоазовська,UA14100070000079873
смт Бойківське,4219,stlmt Boikivske,Донецька,Кальміуський,селище міського типу,Бойківське,Донецька Кальміуський селище міського типу Бойківське,Бойківська,UA14100010000054669
смт Новий Світ,8996,stlmt Novyi Svit,Донецька,Кальміуський,селище міського типу,Новий Світ,Донецька Кальміуський селище міського типу Новий Світ,Старобешівська,UA14100090000050286
смт Оленівка,4513,stlmt Olenivka,Донецька,Кальміуський,селище міського типу,Оленівка,Донецька Кальміуський селище міського типу Оленівка,Докучаєвська,UA14100030000067479
смт Сєдове,2569,stlmt Siedove,Донецька,Кальміуський,селище міського типу,Сєдове,Донецька Кальміуський селище міського типу Сєдове,Новоазовська,UA14100070000079873
смт Старобешеве,6044,stlmt Starobesheve,Донецька,Кальміуський,селище міського типу,Старобешеве,Донецька Кальміуський селище міського типу Старобешеве,Старобешівська,UA14100090000050286
м. Дружківка,53977,city Druzhkivka,Донецька,Краматорський,місто,Дружківка,Донецька Краматорський місто Дружківка,Дружківська,UA14120030000057882
м. Костянтинівка,67350,city Kostiantynivka,Донецька,Краматорський,місто,Костянтинівка,Донецька Краматорський місто Костянтинівка,Костянтинівська,UA14120070000090878
м. Краматорськ,147145,city Kramatorsk,Донецька,Краматорський,місто,Краматорськ,Донецька Краматорський місто Краматорськ,Краматорська,UA14120090000098500
м. Лиман,20066,city Lyman,Донецька,Краматорський,місто,Лиман,Донецька Краматорський місто Лиман,Лиманська,UA14120110000031497
м. Миколаївка,14210,city Mykolaivka,Донецька,Краматорський,місто,Миколаївка,Донецька Краматорський місто Миколаївка,Миколаївська,UA14120130000086767
м. Святогірськ,4226,city Sviatohirsk,Донецька,Краматорський,місто,Святогірськ,Донецька Краматорський місто Святогірськ,Святогірська,UA14120190000021407
м. Слов’янськ,105141,city Sloviansk,Донецька,Краматорський,місто,Слов’янськ,Донецька Краматорський місто Слов’янськ,Слов’янська,UA14120210000056793
смт Андріївка,833,stlmt Andriivka,Донецька,Краматорський,селище міського типу,Андріївка,Донецька Краматорський селище міського типу Андріївка,Слов’янська,UA14120210000056793
смт Билбасівка,5807,stlmt Bylbasivka,Донецька,Краматорський,селище міського типу,Билбасівка,Донецька Краматорський селище міського типу Билбасівка,Слов’янська,UA14120210000056793
смт Біленьке,9441,stlmt Bilenke,Донецька,Краматорський,селище міського типу,Біленьке,Донецька Краматорський селище міського типу Біленьке,Краматорська,UA14120090000098500
смт Донецьке,574,stlmt Donetske,Донецька,Краматорський,селище міського типу,Донецьке,Донецька Краматорський селище міського типу Донецьке,Миколаївська,UA14120130000086767
смт Дробишеве,2578,stlmt Drobysheve,Донецька,Краматорський,селище міського типу,Дробишеве,Донецька Краматорський селище міського типу Дробишеве,Лиманська,UA14120110000031497
смт Зарічне,2367,stlmt Zarichne,Донецька,Краматорський,селище міського типу,Зарічне,Донецька Краматорський селище міського типу Зарічне,Лиманська,UA14120110000031497
смт Комишуваха,506,stlmt Komyshuvakha,Донецька,Краматорський,селище міського типу,Комишуваха,Донецька Краматорський селище міського типу Комишуваха,Краматорська,UA14120090000098500
смт Красноторка,2915,stlmt Krasnotorka,Донецька,Краматорський,селище міського типу,Красноторка,Донецька Краматорський селище міського типу Красноторка,Краматорська,UA14120090000098500
смт Малотаранівка,3768,stlmt Malotaranivka,Донецька,Краматорський,селище міського типу,Малотаранівка,Донецька Краматорський селище міського типу Малотаранівка,Краматорська,UA14120090000098500
смт Новогригорівка,325,stlmt Novohryhorivka,Донецька,Краматорський,селище міського типу,Новогригорівка,Донецька Краматорський селище міського типу Новогригорівка,Дружківська,UA14120030000057882
смт Новодонецьке,5597,stlmt Novodonetske,Донецька,Краматорський,селище міського типу,Новодонецьке,Донецька Краматорський селище міського типу Новодонецьке,Новодонецька,UA14120150000071686
смт Новомиколаївка,78,stlmt Novomykolaivka,Донецька,Краматорський,селище міського типу,Новомиколаївка,Донецька Краматорський селище міського типу Новомиколаївка,Дружківська,UA14120030000057882
смт Новоселівка,1223,stlmt Novoselivka,Донецька,Краматорський,селище міського типу,Новоселівка,Донецька Краматорський селище міського типу Новоселівка,Лиманська,UA14120110000031497
смт Олександрівка,416,stlmt Oleksandrivka,Донецька,Краматорський,селище міського типу,Олександрівка,Донецька Краматорський селище міського типу Олександрівка,Краматорська,UA14120090000098500
смт Олександрівка,416,stlmt Oleksandrivka,Донецька,Краматорський,селище міського типу,Олександрівка,Донецька Краматорський селище міського типу Олександрівка,Олександрівська,UA14120170000011133
смт Олександрівка,3338,stlmt Oleksandrivka,Донецька,Краматорський,селище міського типу,Олександрівка,Донецька Краматорський селище міського типу Олександрівка,Краматорська,UA14120090000098500
смт Олександрівка,3338,stlmt Oleksandrivka,Донецька,Краматорський,селище міського типу,Олександрівка,Донецька Краматорський селище міського типу Олександрівка,Олександрівська,UA14120170000011133
смт Олексієво-Дружківка,6924,stlmt Oleksiievo-Druzhkivka,Донецька,Краматорський,селище міського типу,Олексієво-Дружківка,Донецька Краматорський селище міського типу Олексієво-Дружківка,Дружківська,UA14120030000057882
смт Райгородок,3166,stlmt Raihorodok,Донецька,Краматорський,селище міського типу,Райгородок,Донецька Краматорський селище міського типу Райгородок,Миколаївська,UA14120130000086767
смт Райське,757,stlmt Raiske,Донецька,Краматорський,селище міського типу,Райське,Донецька Краматорський селище міського типу Райське,Дружківська,UA14120030000057882
смт Софіївка,895,stlmt Sofiivka,Донецька,Краматорський,селище міського типу,Софіївка,Донецька Краматорський селище міського типу Софіївка,Краматорська,UA14120090000098500
смт Черкаське,3151,stlmt Cherkaske,Донецька,Краматорський,селище міського типу,Черкаське,Донецька Краматорський селище міського типу Черкаське,Черкаська,UA14120230000038918
смт Шабельківка,4144,stlmt Shabelkivka,Донецька,Краматорський,селище міського типу,Шабельківка,Донецька Краматорський селище міського типу Шабельківка,Краматорська,UA14120090000098500
смт Ямпіль,1902,stlmt Yampil,Донецька,Краматорський,селище міського типу,Ямпіль,Донецька Краматорський селище міського типу Ямпіль,Лиманська,UA14120110000031497
смт Ярова,1840,stlmt Yarova,Донецька,Краматорський,селище міського типу,Ярова,Донецька Краматорський селище міського типу Ярова,Лиманська,UA14120110000031497
смт Ясна Поляна,2241,stlmt Yasna Poliana,Донецька,Краматорський,селище міського типу,Ясна Поляна,Донецька Краматорський селище міського типу Ясна Поляна,Краматорська,UA14120090000098500
смт Ясногірка,8030,stlmt Yasnohirka,Донецька,Краматорський,селище міського типу,Ясногірка,Донецька Краматорський селище міського типу Ясногірка,Краматорська,UA14120090000098500
м. Маріуполь,425681,city Mariupol,Донецька,Маріупольський,місто,Маріуполь,Донецька Маріупольський місто Маріуполь,Маріупольська,UA14140050000020560
смт Мангуш,7731,stlmt Manhush,Донецька,Маріупольський,селище міського типу,Мангуш,Донецька Маріупольський селище міського типу Мангуш,Мангушська,UA14140030000092230
смт Нікольське,7801,stlmt Nikolske,Донецька,Маріупольський,селище міського типу,Нікольське,Донецька Маріупольський селище міського типу Нікольське,Нікольська,UA14140070000060361
смт Сартана,10070,stlmt Sartana,Донецька,Маріупольський,селище міського типу,Сартана,Донецька Маріупольський селище міського типу Сартана,Сартанська,UA14140090000015932
смт Старий Крим,5734,stlmt Staryi Krym,Донецька,Маріупольський,селище міського типу,Старий Крим,Донецька Маріупольський селище міського типу Старий Крим,Маріупольська,UA14140050000020560
смт Талаківка,3832,stlmt Talakivka,Донецька,Маріупольський,селище міського типу,Талаківка,Донецька Маріупольський селище міського типу Талаківка,Сартанська,UA14140090000015932
смт Ялта,4700,stlmt Yalta,Донецька,Маріупольський,селище міського типу,Ялта,Донецька Маріупольський селище міського типу Ялта,Мангушська,UA14140030000092230
м. Авдіївка,31392,city Avdiivka,Донецька,Покровський,місто,Авдіївка,Донецька Покровський місто Авдіївка,Авдіївська,UA14160010000086090
м. Білицьке,7764,city Bilytske,Донецька,Покровський,місто,Білицьке,Донецька Покровський місто Білицьке,Добропільська,UA14160070000097326
м. Білозерське,14634,city Bilozerske,Донецька,Покровський,місто,Білозерське,Донецька Покровський місто Білозерське,Білозерська,UA14160030000019136
м. Гірник,10357,city Hirnyk,Донецька,Покровський,місто,Гірник,Донецька Покровський місто Гірник,Курахівська,UA14160110000031920
м. Добропілля,28170,city Dobropillia,Донецька,Покровський,місто,Добропілля,Донецька Покровський місто Добропілля,Добропільська,UA14160070000097326
м. Красногорівка,14666,city Krasnohorivka,Донецька,Покровський,місто,Красногорівка,Донецька Покровський місто Красногорівка,Мар’їнська,UA14160130000011561
м. Курахове,18220,city Kurakhove,Донецька,Покровський,місто,Курахове,Донецька Покровський місто Курахове,Курахівська,UA14160110000031920
м. Мар’їнка,9089,city Marinka,Донецька,Покровський,місто,Мар’їнка,Донецька Покровський місто Мар’їнка,Мар’їнська,UA14160130000011561
м. Мирноград,46098,city Myrnohrad,Донецька,Покровський,місто,Мирноград,Донецька Покровський місто Мирноград,Мирноградська,UA14160150000038750
м. Новогродівка,14037,city Novohrodivka,Донецька,Покровський,місто,Новогродівка,Донецька Покровський місто Новогродівка,Новогродівська,UA14160170000023385
м. Покровськ,60127,city Pokrovsk,Донецька,Покровський,місто,Покровськ,Донецька Покровський місто Покровськ,Покровська,UA14160210000011148
м. Родинське,9850,city Rodynske,Донецька,Покровський,місто,Родинське,Донецька Покровський місто Родинське,Покровська,UA14160210000011148
м. Селидове,21521,city Selydove,Донецька,Покровський,місто,Селидове,Донецька Покровський місто Селидове,Селидівська,UA14160230000060952
м. Українськ,10655,city Ukrainsk,Донецька,Покровський,місто,Українськ,Донецька Покровський місто Українськ,Селидівська,UA14160230000060952
смт Верхньоторецьке,2819,stlmt  Verkhnotoretske,Донецька,Покровський,селище міського типу,Верхньоторецьке,Донецька Покровський селище міського типу Верхньоторецьке,Очеретинська,UA14160190000059231
смт Вишневе,244,stlmt Vyshneve,Донецька,Покровський,селище міського типу,Вишневе,Донецька Покровський селище міського типу Вишневе,Селидівська,UA14160230000060952
смт Водянське,1373,stlmt Vodianske,Донецька,Покровський,селище міського типу,Водянське,Донецька Покровський селище міського типу Водянське,Добропільська,UA14160070000097326
смт Гостре,557,stlmt Hostre,Донецька,Покровський,селище міського типу,Гостре,Донецька Покровський селище міського типу Гостре,Курахівська,UA14160110000031920
смт Гродівка,2299,stlmt Hrodivka,Донецька,Покровський,селище міського типу,Гродівка,Донецька Покровський селище міського типу Гродівка,Гродівська,UA14160050000083011
смт Желанне,1274,stlmt Zhelanne,Донецька,Покровський,селище міського типу,Желанне,Донецька Покровський селище міського типу Желанне,Очеретинська,UA14160190000059231
смт Іллінка,440,stlmt Illinka,Донецька,Покровський,селище міського типу,Іллінка,Донецька Покровський селище міського типу Іллінка,Курахівська,UA14160110000031920
смт Керамік,339,stlmt Keramik,Донецька,Покровський,селище міського типу,Керамік,Донецька Покровський селище міського типу Керамік,Очеретинська,UA14160190000059231
смт Комишівка,373,stlmt Komyshivka,Донецька,Покровський,селище міського типу,Комишівка,Донецька Покровський селище міського типу Комишівка,Новогродівська,UA14160170000023385
смт Курахівка,2600,stlmt Kurakhivka,Донецька,Покровський,селище міського типу,Курахівка,Донецька Покровський селище міського типу Курахівка,Курахівська,UA14160110000031920
смт Новоекономічне,2763,stlmt Novoekonomichne,Донецька,Покровський,селище міського типу,Новоекономічне,Донецька Покровський селище міського типу Новоекономічне,Гродівська,UA14160050000083011
смт Очеретине,3378,stlmt Ocheretyne,Донецька,Покровський,селище міського типу,Очеретине,Донецька Покровський селище міського типу Очеретине,Очеретинська,UA14160190000059231
смт Святогорівка,1799,stlmt Sviatohorivka,Донецька,Покровський,селище міського типу,Святогорівка,Донецька Покровський селище міського типу Святогорівка,Добропільська,UA14160070000097326
смт Удачне,1633,stlmt Udachne,Донецька,Покровський,селище міського типу,Удачне,Донецька Покровський селище міського типу Удачне,Удачненська,UA14160250000075646
смт Цукурине,1745,stlmt Tsukuryne,Донецька,Покровський,селище міського типу,Цукурине,Донецька Покровський селище міського типу Цукурине,Селидівська,UA14160230000060952
смт Шевченко,1654,stlmt Shevchenko,Донецька,Покровський,селище міського типу,Шевченко,Донецька Покровський селище міського типу Шевченко,Покровська,UA14160210000011148
м. Андрушівка,8325,city Andrushivka,Житомирська,Бердичівський,місто,Андрушівка,Житомирська Бердичівський місто Андрушівка,Андрушівська,UA18020010000059904
м. Бердичів,73046,city Berdychiv,Житомирська,Бердичівський,місто,Бердичів,Житомирська Бердичівський місто Бердичів,Бердичівська,UA18020030000035625
смт Гришківці,4099,stlmt Hryshkivtsi,Житомирська,Бердичівський,селище міського типу,Гришківці,Житомирська Бердичівський селище міського типу Гришківці,Гришковецька,UA18020070000083539
смт Іванопіль,2937,stlmt Ivanopil,Житомирська,Бердичівський,селище міського типу,Іванопіль,Житомирська Бердичівський селище міського типу Іванопіль,Краснопільська,UA18020090000092001
смт Ружин,4209,stlmt Ruzhyn,Житомирська,Бердичівський,селище міського типу,Ружин,Житомирська Бердичівський селище міського типу Ружин,Ружинська,UA18020130000096761
смт Червоне,2709,stlmt Chervone,Житомирська,Бердичівський,селище міського типу,Червоне,Житомирська Бердичівський селище міського типу Червоне,Червоненська,UA18020170000036711
